imputer,normalizer,tamer__detector,tamer__remediation,selector,balancer,classifier__max_features,classifier__penalty,_family,tamer__contamination,tamer__mad_threshold,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__subsample,classifier__colsample_bytree,classifier__min_child_weight,classifier__min_child_samples,classifier__reg_alpha,classifier__reg_lambda,classifier__scale_pos_weight,classifier__num_leaves,classifier__min_samples_leaf,classifier__iterations,classifier__depth,classifier__l2_leaf_reg,classifier__C,classifier__estimator__xgb__learning_rate,classifier__estimator__xgb__max_depth,classifier__estimator__xgb__scale_pos_weight,mean_pr_auc,std_pr_auc,mean_roc_auc,std_roc_auc,range_pr_auc,cv_pr_auc,uncertainty_aware_score,brier_mean,recall_at_spec90_mean
ClassMeanImputer,ZScoreNormalizationNorm,cluster,mad_replace,SelectKBestFilter(k=30),BorderlineSMOTESampler(k_neighbors=3),absent,absent,xgb,0.1377819581453969,3.1489529652998476,0.28946162301935163,6.0,103.0,0.9484033082528108,0.7581264739016785,2.0,,0.002921219848692909,0.48949564347055824,2.0262454228092235,,,,,,,,,,0.1909631142954578,0.009962923458779282,0.6471949869352076,0.015479356405996049,0.031144014887421162,0.05217197831914631,0.18598165256606813,,
IterativeModelImputer,ZScoreNormalizationNorm,statistical,cluster_local_median,SelectKBestFilter(k=30),FunctionSampler,absent,absent,xgb,0.04076705679848412,2.7126547430113988,0.04694406179524128,3.0,386.0,0.5594433213478173,0.665715799406803,9.0,,3.5362239066946213,3.030841369929261,2.1832239815208543,,,,,,,,,,0.2335680206321277,0.015139882759372615,0.7056890123917251,0.009069810225671434,0.03894409473449756,0.06482001567850808,0.2259980792524414,,
KNNImputerWrapper(n_neighbors=5),RobustScalerNorm,statistical,none,SelectKBestFilter(k=30),SMOTESampler(k_neighbors=3),absent,absent,xgb,0.006011476368961168,2.855116904622898,0.05966810393743291,9.0,811.0,0.583517358507718,0.9632368666483828,2.0,,0.3329664204225402,0.6046229246023158,1.2207657520733228,,,,,,,,,,0.21237356364706605,0.008874711060514942,0.6740732571524112,0.012481144102830175,0.026683177222109222,0.04178820992646439,0.20793620811680857,,
InterpolateImputer,ZScoreNormalizationNorm,statistical,percentile_clip,SelectKBestFilter(k=20),BorderlineSMOTESampler(k_neighbors=3),absent,absent,xgb,0.010418712412710028,3.1963572569628482,0.03927903278566065,6.0,244.0,0.8912586357514727,0.7063788737463225,16.0,,0.09583640327659054,1.2584906573746129,2.5591132827249865,,,,,,,,,,0.2410662532268509,0.017686306392571342,0.6963778479425363,0.01131882329979961,0.04748924266736368,0.07336699415960131,0.23222310003056523,,
ClassMeanImputer,ZScoreNormalizationNorm,iforest,winsorize,SelectKBestFilter(k=40),BorderlineSMOTESampler(k_neighbors=3),absent,absent,xgb,0.01413158393668975,3.592078054554647,0.10632252403433884,6.0,257.0,0.5227097912437078,0.9426120203152344,2.0,,4.286392260105291,0.5692055186189584,7.436570181326359,,,,,,,,,,0.21373741354520295,0.01575583213777344,0.6737602634715264,0.01711148639020716,0.0403218859061521,0.07371583606461704,0.20585949747631624,,
IterativeModelImputer,ZScoreNormalizationNorm,cluster,cluster_local_median,SelectKBestFilter(k=10),FunctionSampler,absent,absent,xgb,0.06009300163640628,2.0808376023458988,0.03812315982207528,8.0,779.0,0.9905469423890578,0.9886218461400071,1.0,,0.139727084026983,3.9756765176252813,1.9608543443675586,,,,,,,,,,0.19617467827337515,0.020094514141967217,0.6423071389069304,0.0209938649771918,0.05108705055120638,0.10243174256141725,0.18612742120239154,,
IterativeModelImputer,RobustScalerNorm,cluster,cluster_local_median,TreeBasedSelection,SMOTESampler(k_neighbors=3),absent,absent,xgb,0.012559586693141356,2.648638112101835,0.08462537709785443,3.0,266.0,0.8938140170881835,0.7367437933819686,30.0,,0.028915530963918884,3.6192695691411934,1.5064629700937084,,,,,,,,,,0.20808552015650833,0.011294569336636712,0.6708342001217523,0.018756596169953118,0.034433490013808105,0.05427849726469038,0.20243823548818998,,
ClassMeanImputer,ZScoreNormalizationNorm,cluster,winsorize,SelectKBestFilter(k=40),FunctionSampler,absent,absent,xgb,0.12098675409650046,3.740539196354143,0.06999167077847468,8.0,317.0,0.7351034180314222,0.9734568387920536,3.0,,0.28820285521058076,8.8085129220095,1.0409043964531552,,,,,,,,,,0.23477158944749185,0.00933748965675925,0.6972262596431886,0.008437232814197136,0.02820712464634942,0.039772655962052164,0.23010284461911223,,
InterpolateImputer,ZScoreNormalizationNorm,statistical,shrink,SelectKBestFilter(k=20),SMOTESampler(k_neighbors=5),absent,absent,xgb,0.14912672081580267,3.865297363556505,0.026942070738395364,12.0,136.0,0.6407366635979231,0.5301291301834172,50.0,,0.17297703760568575,2.289633559330952,1.6916044041891352,,,,,,,,,,0.2347078031641466,0.014735010967817486,0.698765717406076,0.019591042939851533,0.03925290142029461,0.06278023469680863,0.22734029768023786,,
InterpolateImputer,RobustScalerNorm,statistical,cluster_local_median,SelectKBestFilter(k=10),SMOTESampler(k_neighbors=3),absent,absent,xgb,0.10758647785859152,2.2666255645829363,0.1660793642816787,6.0,209.0,0.8561637621382063,0.5223125796586022,17.0,,0.0025232667318826826,1.6238954118005784,2.3060167211195863,,,,,,,,,,0.1711968834750089,0.014068838621001011,0.6164187812552918,0.025554241921563945,0.03669213541779326,0.08217929167533451,0.1641624641645084,,
